RECORDID,EXTERNALID
R24665197,842823
R24665198,842824
R24665199,842825
R24665200,842826
R24665201,842827
R24665202,842828
R24665203,842829
R24665204,842830
R24665205,842831
R24665206,842832
R24665207,842833
R24665208,842834
R24665209,842835
R24665210,842836
R24665211,842837
R24665212,842838
R24665213,842839
R24665214,842840
R24665215,842841
R24665216,842842
R24665217,842843
R24665218,842844
R24665219,842845
R24665220,842846
R24665221,842847
R24665222,842848
R24665223,842849
R24665224,842850
R24665225,842851
R24665226,842852
R24665227,842853
R24665228,842854
R24665229,842855
R24665230,842856
R24665231,842857
R24665232,842858
R24665233,842859
R24665234,842860
R24665235,842861
R24665236,842862
R24665237,842863
R24665238,842864
R24665239,842865
R24665240,842866
R24665241,842867
R24665242,842868
R24665243,842869
R24665244,842870
R24665245,842871
R24665246,842872
R24665247,842873
R24665248,842874
R24665249,842875
R24665250,842876
R24665251,842877
R24665252,842878
R24665253,842879
R24665254,842880
R24665255,842881
R24665256,842882
R24665257,842883
R24665258,842884
R24665259,842885
R24665260,842886
R24665261,842887
R24665262,842888
R24665263,842889
R24665264,842890
R24665265,842891
R24665266,842892
R24665267,842893
R24665268,842894
R24665269,842895
R24665270,842896
R24665271,842897
R24665272,842898
R24665273,842899
R24665274,842900
R24665275,842901
R24665276,842902
R24665277,842903
R24665278,842904
R24665279,842905
R24665280,842906
R24665281,842907
R24665282,842908
R24665283,842909
R24665284,842910
R24665285,842911
R24665286,842912
R24665287,842913
R24665288,842914
R24665289,842915
R24665290,842916
R24665291,842917
R24665292,842918
R24665293,842919
R24665294,842920
R24665295,842921
R24665296,842922
R24665297,842923
R24665298,842924
R24665299,842925
R24665300,842926
R24665301,842927
R24665302,842928
R24665303,842929
R24665304,842930
R24665305,842931
R24665306,842932
R24665307,842933
R24665308,842934
R24665309,842935
R24665310,842936
R24665311,842937
R24665312,842938
R24665313,842939
R24665314,842940
R24665315,842941
R24665316,842942
R24665317,842943
R24665318,842944
R24665319,842945
R24665320,842946
R24665321,842947
R24665322,842948
R24665323,842949
R24665324,842950
R24665325,842951
R24665326,842952
R24665327,842953
R24665328,842954
R24665329,842955
R24665330,842956
R24665331,842957
R24665332,842958
R24665333,842959
R24665334,842960
R24665335,842961
R24665336,842962
R24665337,842963
R24665338,842964
R24665339,842965
R24665340,842966
R24665341,842967
R24665342,842968
R24665343,842969
R24665344,842970
R24665345,842971
R24665346,842972
R24665347,842973
R24665348,842974
R24665349,842975
R24665350,842976
R24665351,842977
R24665352,842978
R24665353,842979
R24665354,842980
R24665355,842981
R24665356,842982
R24665357,842983
R24665358,842984
R24665359,842985
R24665360,842986
R24665361,842987
R24665362,842988
R24665363,842989
R24665364,842990
R24665365,842991
R24665366,842992
R24665367,842993
R24665368,842994
R24665369,842995
R24665370,842996
R24665371,842997
R24665372,842998
R24665373,842999
R24665374,843000
R24665375,843001
R24665376,843002
R24665377,843003
R24665378,843004
R24665379,843005
R24665380,843006
R24665381,843007
R24665382,843008
R24665383,843009
R24665384,843010
R24665385,843011
R24665386,843012
R24665387,843013
R24665388,843014
R24665389,843015
R24665390,843016
R24665391,843017
R24665392,843018
R24665393,843019
R24665394,843020
R24665395,843021
R24665396,843022
R24665397,843023
R24665398,843024
R24665399,843025
R24665400,843026
R24665401,843027
R24665402,843028
R24665403,843029
R24665404,843030
R24665405,843031
R24665406,843032
R24665407,843033
R24665408,843034
R24665409,843035
R24665410,843036
R24665411,843037
R24665412,843038
R24665413,843039
R24665414,843040
R24665415,843041
R24665416,843042
R24665417,843043
R24665418,843044
R24665419,843045
R24665420,843046
R24665421,843047
R24665422,843048
R24665423,843049
R24665424,843050
R24665425,843051
R24665426,843052
R24665427,843053
R24665428,843054
R24665429,843055
R24665430,843056
R24665431,843057
R24665432,843058
R24665433,843059
R24665434,843060
R24665435,843061
R24665436,843062
R24665437,843063
R24665438,843064
R24665439,843065
R24665440,843066
R24665441,843067
R24665442,843068
R24665443,843069
R24665444,843070
R24665445,843071
R24665446,843072
R24665447,843073
R24665448,843074
R24665449,843075
R24665450,843076
R24665451,843077
R24665452,843078
R24665453,843079
R24665454,843080
R24665455,843081
R24665456,843082
R24665457,843083
R24665458,843084
R24665459,843085
R24665460,843086
R24665461,843087
R24665462,843088
R24665463,843089
R24665464,843090
R24665465,843091
R24665466,843092
R24665467,843093
R24665468,843094
R24665469,843095
R24665470,843096
R24665471,843097
R24665472,843098
R24665473,843099
R24665474,843100
R24665475,843101
R24665476,843102
R24665477,843103
R24665478,843104
R24665479,843105
R24665480,843106
R24665481,843107
R24665482,843108
R24665483,843109
R24665484,843110
R24665485,843111
R24665486,843112
R24665487,843113
R24665488,843114
R24665489,843115
R24665490,843116
R24665491,843117
R24665492,843118
R24665493,843119
R24665494,843120
R24665495,843121
R24665496,843122
R24665497,843123
R24665498,843124
R24665499,843125
R24665500,843126
R24665501,843127
R24665502,843128
R24665503,843129
R24665504,843130
R24665505,843131
R24665506,843132
R24665507,843133
R24665508,843134
R24665509,843135
R24665510,843136
R24665511,843137
R24665512,843138
R24665513,843139
R24665514,843140
R24665515,843141
R24665516,843142
R24665517,843143
R24665518,843144
R24665519,843145
R24665520,843146
R24665521,843147
R24665522,843148
R24665523,843149
R24665524,843150
R24665525,843151
R24665526,843152
R24665527,843153
R24665528,843154
R24665529,843155
R24665530,843156
R24665531,843157
R24665532,843158
R24665533,843159
R24665534,843160
R24665535,843161
R24665536,843162
R24665537,843163
R24665538,843164
R24665539,843165
R24665540,843166
R24665541,843167
R24665542,843168
R24665543,843169
R24665544,843170
R24665545,843171
R24665546,843172
R24665547,843173
R24665548,843174
R24665549,843175
R24665550,843176
R24665551,843177
R24665552,843178
R24665553,843179
R24665554,843180
R24665555,843181
R24665556,843182
R24665557,843183
R24665558,843184
R24665559,843185
R24665560,843186
R24665561,843187
R24665562,843188
R24665563,843189
R24665564,843190
R24665565,843191
R24665566,843192
R24665567,843193
R24665568,843194
R24665569,843195
R24665570,843196
R24665571,843197
R24665572,843198
R24665573,843199
R24665574,843200
R24665575,843201
R24665576,843202
R24665577,843203
R24665578,843204
R24665579,843205
R24665580,843206
R24665581,843207
R24665582,843208
R24665583,843209
R24665584,843210
R24665585,843211
R24665586,843212
R24665587,843213
R24665588,843214
R24665589,843215
R24665590,843216
R24665591,843217
R24665592,843218
R24665593,843219
R24665594,843220
R24665595,843221
R24665596,843222
R24665597,843223
R24665598,843224
R24665599,843225
R24665600,843226
R24665601,843227
R24665602,843228
R24665603,843229
R24665604,843230
R24665605,843231
R24665606,843232
R24665607,843233
R24665608,843234
R24665609,843235
R24665610,843236
R24665611,843237
R24665612,843238
R24665613,843239
R24665614,843240
R24665615,843241
R24665616,843242
R24665617,843243
R24665618,843244
R24665619,843245
R24665620,843246
R24665621,843247
R24665622,843248
R24665623,843249
R24665624,843250
R24665625,843251
R24665626,843252
R24665627,843253
R24665628,843254
R24665629,843255
R24665630,843256
R24665631,843257
R24665632,843258
R24665633,843259
R24665634,843260
R24665635,843261
R24665636,843262
R24665637,843263
R24665638,843264
R24665639,843265
R24665640,843266
R24665641,843267
R24665642,843268
R24665643,843269
R24665644,843270
R24665645,843271
R24665646,843272
R24665647,843273
R24665648,843274
R24665649,843275
R24665650,843276
R24665651,843277
R24665652,843278
R24665653,843279
R24665654,843280
R24665655,843281
R24665656,843282
R24665657,843283
R24665658,843284
R24665659,843285
R24665660,843286
R24665661,843287
R24665662,843288
R24665663,843289
R24665664,843290
R24665665,843291
R24665666,843292
R24665667,843293
R24665668,843294
R24665669,843295
R24665670,843296
R24665671,843297
R24665672,843298
R24665673,843299
R24665674,843300
R24665675,843301
R24665676,843302
R24665677,843303
R24665678,843304
R24665679,843305
R24665680,843306
R24665681,843307
R24665682,843308
R24665683,843309
R24665684,843310
R24665685,843311
R24665686,843312
R24665687,843313
R24665688,843314
R24665689,843315
R24665690,843316
R24665691,843317
R24665692,843318
R24665693,843319
R24665694,843320
R24665695,843321
R24665696,843322
R24665697,843323
R24665698,843324
R24665699,843325
R24665700,843326
R24665701,843327
R24665702,843328
R24665703,843329
R24665704,843330
R24665705,843331
R24665706,843332
R24665707,843333
